ticker,adv_shares,last_price,slip_500_pct,vs_flat_500,slip_1k_pct,vs_flat_1k,slip_5k_pct,vs_flat_5k
SOC,5631796.95,13.52,1.768,1.568,1.126,0.926,0.794,0.594
SOPA,2626478.35,0.51,2.606,2.406,2.311,2.111,3.444,3.244
SOUN,19652785.95,7.94,1.73,1.53,1.072,0.872,0.672,0.472
SPY,67694527.15,708.6102,1.645,1.445,0.952,0.752,0.405,0.205
SRXH,25447453.8,0.1256,2.265,2.065,1.829,1.629,2.367,2.167
SSL,2390193.15,12.46,1.845,1.645,1.235,1.035,1.037,0.837
SST,6616180.1,2.4524,1.911,1.711,1.328,1.128,1.245,1.045
STAK,716497.9,0.9247,3.014,2.814,2.888,2.688,4.733,4.533
STFS,6538.210526315789,4.02,8.628,8.428,10.0,9.8,10.0,9.8
SUNE,679392.85,1.4,2.786,2.586,2.566,2.366,4.014,3.814
SVCO,312870.55,8.4119,2.329,2.129,1.92,1.72,2.568,2.368
SXTC,96503.6,2.0032,4.183,3.983,4.541,4.341,8.43,8.23
SXTP,300355.65,1.7315,3.19,2.99,3.138,2.938,5.292,5.092
SYNX,177074.05,1.27,3.998,3.798,4.279,4.079,7.844,7.644
TH,1066714.4,14.58,1.919,1.719,1.34,1.14,1.272,1.072
TLYS,488685.85,5.17,2.343,2.143,1.94,1.74,2.613,2.413
TMDE,6231838.8,1.2079,2.048,1.848,1.521,1.321,1.678,1.478
TNYA,2638986.8,0.7758,2.421,2.221,2.05,1.85,2.86,2.66
TOP,1983170.1,0.8489999771118164,2.502,2.302,2.164,1.964,3.114,2.914
TOVX,32783879.65,0.41780000925064087,1.942,1.742,1.372,1.172,1.344,1.144
TPET,13200123.4,0.4782,2.085,1.885,1.574,1.374,1.796,1.596
TRAW,183613.45,1.23,3.946,3.746,4.207,4.007,7.682,7.482
TRNR,141533.45,1.1444,4.418,4.218,4.874,4.674,9.174,8.974
TSSI,1486102.2,14.62,1.88,1.68,1.284,1.084,1.148,0.948
TURB,3964361.5,1.84,2.054,1.854,1.53,1.33,1.698,1.498
UAVS,2055868.55,1.16,2.364,2.164,1.969,1.769,2.678,2.478
UCAR,45776910.65,1.3214,1.784,1.584,1.148,0.948,0.844,0.644
UGRO,13875066.75,11.66,1.728,1.528,1.069,0.869,0.667,0.467
UOKA,84608112.25,11.4225,1.674,1.474,0.993,0.793,0.496,0.296
UP,1502697.6,0.43255001306533813,2.972,2.772,2.829,2.629,4.602,4.402
UPC,4952.8421052631575,3.18,10.0,9.8,10.0,9.8,10.0,9.8
UPS,3575250.35,105.93,1.697,1.497,1.026,0.826,0.571,0.371
USAR,10460485.55,21.479,1.715,1.515,1.05,0.85,0.625,0.425
USEG,3207075.25,0.73,2.371,2.171,1.978,1.778,2.7,2.5
UUU,32080.1,5.74,4.287,4.087,4.689,4.489,8.761,8.561
VCIG,257222.75,1.14,3.705,3.505,3.865,3.665,6.918,6.718
VEEE,5461751.35,0.2142,2.674,2.474,2.407,2.207,3.658,3.458
VERO,10081.57142857143,0.311,10.0,9.8,10.0,9.8,10.0,9.8
VHUB,448374.25,0.788,3.521,3.321,3.605,3.405,6.337,6.137
VNDA,964741.05,7.2691,2.062,1.862,1.542,1.342,1.724,1.524
VNRX,11317878.9,0.165,2.458,2.258,2.102,1.902,2.976,2.776
VOO,6673189.6,651.415,1.657,1.457,0.969,0.769,0.443,0.243
VRAX,41234941.9,0.1417,2.091,1.891,1.583,1.383,1.815,1.615
VSA,29906528.6,0.7908,1.864,1.664,1.262,1.062,1.098,0.898
VTAK,197891.45,0.851,4.364,4.164,4.798,4.598,9.004,8.804
WBUY,2428199.25,1.25,2.266,2.066,1.83,1.63,2.368,2.168
WEEK,37585.75,100.02999877929688,2.206,2.006,1.745,1.545,2.179,1.979
WETO,111294.45,0.599,5.97,5.77,7.069,6.869,10.0,9.8
WFF,169452.85,1.36,3.969,3.769,4.239,4.039,7.754,7.554
WGRX,27759796.0,0.1411,2.205,2.005,1.744,1.544,2.175,1.975
WLDS,2116290.6,2.0899999141693115,2.159,1.959,1.678,1.478,2.029,1.829
WNW,23800810.1,5.0443,1.742,1.542,1.089,0.889,0.712,0.512
WORX,6835080.95,0.95,2.079,1.879,1.565,1.365,1.776,1.576
WSHP,2387076.25,14.06,1.83,1.63,1.214,1.014,0.99,0.79
XHG,39009.8,1.04,7.191,6.991,8.795,8.595,10.0,9.8
XPON,191786.25,0.81,4.496,4.296,4.984,4.784,9.42,9.22
XRP,537871.35,15.9051,2.022,1.822,1.485,1.285,1.597,1.397
XTIA,1461771.45,2.3,2.25,2.05,1.807,1.607,2.317,2.117
XWEL,216407.65,1.18,3.852,3.652,4.074,3.874,7.385,7.185
YDKG,100501.7,0.9257,5.23,5.03,6.022,5.822,10.0,9.8
